story_id,producer_first_name,producer_last_name,producers,helpers,description,illustrator_credit,music_credit,year,month,day,issue,produce_memo,other_memo
home,Travis,Williams,Travis Williams,,"Students from Brown University reflect on what they miss most from home: dogs, food, and the sound of a firetruck at midnight. Listen to what they had to say.",,From Podington Bear: http://www.soundofpicture.com/tracks/,2016,11,17,0,,
home_is_where_the_heart_is,Dorinda,Fong,Dorinda Fong,,"A return trip to a childhood home brings back many memories.",,,2016,3,3,0,,
i_am_cat_lady_hear_me_roar,Georgia,Wright,Georgia Wright,,"Cats and women have always been connected. Or so thinks producer and renowned crazy cat lady Georgia Wright, who takes on the cat-haters in her life in an investigation of feline and feminine.","Podington Bear","The SimpsonsBatman Returns, 1992Disneyland â€“ â€œThe Great Cat Family,â€ù 1956 ",2017,3,16,0,,
identity,"Produced by Isaac Albanese, recorded live and mixed by Mitchell Johnson",,Isaac Albanese,Mitchell Johnson,Isaac Albanese tells a story about trans masculinity and accepting uncertainty.,,,,,,,,
it_is_a_peregrine_falcon_it_is_a_zeppelin,Mitchell,Johnson,Mitchell Johnson,,"The Superman Building, in downtown Providence, is completely empty. Except for all the ghosts, film crews, and wild birds.",Kate Talerico,,2016,2,18,0,,"Photo order: revival19, revival1, revival2, revival18, revival3, revival4, revival5, mitchell01, revival11, revival9, revival12"
it_is_very_fun_to_scrum,Ari,Snider,Ari Snider,,"Brown Universityâ€™s womenâ€™s rugby team is one of the best in the country. For the team members, the rugby pitch provides a space to embrace a powerful physicality that is often unavailable in most other aspects of life.",,,2016,4,21,0,,
just_talk_like_a_person,Chelsea,Fernando,Chelsea Fernando,,"As his college years come to a close, a student comedian reflects on the social meaning of being considered funny and examines the relationship between humor and self-doubt with a younger stand up comic.",,"live performance of â€œI Want You Back (Jackson 5 cover)â€ù by Clyde Lawrenceâ€œGentle Marimbasâ€ù by Chad Crouch",2015,12,3,0,,
keeping_the_book_open,Scott,Turner,Scott Turner,,"Scott Turner tells a story about his father, manhood, and butterflies.",,,,,,,,
kidding_yourself,Niki,Sanders,Niki Sanders,,"A girl keeps a very creative diary. After finding it years later, Niki Sanders investigates why.",,"Happy Ending â€“ Chad CrouchOrange Juicier â€“ ChadCrouchhttp://www.soundofpicture.com/",2015,11,19,0,,
lengua_padre,Chiara,Arellano,,,,,,2017,12,2,1,"Story was actually published under the title of ""Lengua Padre""",
life_at_the_muesum,Ari,Snider,Ari Snider,,"Timothy Welsh did not set out to be a museum security guard, but he may be better at the job than anyone else.",Timothy Welsh,"â€œTar and Spackleâ€ù and â€œLatheâ€ù by Blue Dot Sessionshttp://freemusicarchive.org/search/?quicksearch=blue+dot+sessions ",2016,2,25,0,,
live_to_fight_another_day,Liza,Yeager,Liza Yeager,,"In response to the November 2016 election, Professor Bob Lee started a new kind of class: taiji for self defense.",Blue Dot Sessions,,2017,5,18,0,,
lizards,Isabelle,Doyle,Isabelle Doyle,"Liza Yeager, Sophie McKibben",The most lizards Isabelle has ever had is eight.,,,2016,5,5,0,,"The Brown University Storytellers are Brownâ€™s first and only performance storytelling group dedicated to 100% true stories told live, from the heart. The Storytellers audition, workshop, direct, and perform stories like this one live at biannual Storyslams. They also host weekly meetings open to all. Email anna_martin@brown.edu to be added to the Storytellers listserv."
locks_at_Brown,Liza,Yeager,"Lovinia Reynolds, Kristin Ramcharan, Christopher Pineda, Alyson Smith",Liza Yeager,Highlighting the voices of folks who love and appreciate their dreads!,,The Conquering Lion (Unplugged) by Lauryn Hill,2016,5,12,0,,
looking_for_trans,Jake,Kuhn,Jake Kuhn,,,,,2016,5,12,0,No transcript,
lost_in_the_arctic,Lauren,Black,,,,,,2017,12,2,1,,
lots_of_things_to_tell_you_about_today,Florence,Li,,,,,,2017,12,2,1,"Story was actually published under the title of ""Lots of Things to Tell You About Today""",
love_and_binary,Alex,Hanesworth,Alexandra Hanesworth,,Two hopeful high-schoolers exchange letters filled with declarations of love and binary code.,,"â€œDoxepinâ€ù by Christoph Schindlinghttp://freemusicarchive.org/music/Christoph_Schindling/Learning_By_Doing/07_-_Doxepin_320kpsâ€œall these wires between usâ€ù by Lucky Dragonshttp://freemusicarchive.org/music/lucky_dragons/dark_falcon/all_these_wires_between_us",2017,2,9,0,,
love_and_rationality,Kristin,Ramcharan,Kristin Ramcharan,,Students explore the  connection between love and rationality.,,"â€œCryâ€ù by Nangdo (http://freemusicarchive.org/)",2016,10,28,0,,
man_seeks_bicycle,Ari,Snider,Ari Snider,,,,,2015,11,12,0,Img only,
memes,Justin,Bai,Justin Bai,,The story of how a fandom arose from a standardized test.,,"â€œPositive Ringlingâ€ù by Poddington Bear, â€œKittenâ€ù by Poddington Bear, â€œInspiring Prismatoneâ€ù by Poddington Bear, â€œEncouraging Intermezzoâ€ù by Poddington Bear [http://www.soundofpicture.com for all the songs]",2016,2,11,0,,
mens_story_project,Mitchell,Johnson,Mitchell Johnson,,"On March 23rd, 2016, the Office of Institutional Diversity and Inclusion, along with Masculinity 101, hosted a night of stories about masculinity on Brownâ€™s campus, focused on exploring and challenging common notions about masculinity and taking a public stand together for justice, love and equality. These are stories about men coming out, men coming to terms with who they are, and men coming to grips with harm they have done, harm they have witnessed, and harm done to them.",,,2016,4,14,0,,
mermaids_part_one_mermaids_for_life,Margaret,Barry,Margaret Barry,,Emma Merrick tells us how she finds strength and empowerment in the dark depths of mermaid folklore.,"Emma Merrick, RISD â€˜17",Warm Sea by Alex Bett,2017,3,9,0,,
michael_kennedy,Vandhana,Ravi,Vandhana Ravi,,A Brown University professor reflects on his musical choices at different points of his life and how particular songs continue to impact him today.,Miroslav VajdiÄ‡,"Up, Up and Away by the Fifth DimensionA Horse with No Name by AmericaSpinning Wheel by Blood, Sweat and TearsGoodbye Pork Pie Hat by Charles MingusDominance and Submission by Blue Oyster CultFables of Faubus by Charles MingusAve Maria by Schubert",2017,2,15,0,,
my_genders_shroud,Ramon,Stern,Ramon Stern,Mitchell Johnson,"Ramon Stern talks about growing up confined by gender expectations.",,,,,,,,
names,Justin,Bai,Justin Bai,,"Talia and her struggle with what her surname says about her and doesnâ€™t say about her.",,â€œTheme in Gâ€ù by Poddington Bear (http://www.soundofpicture.com/),2016,3,3,0,,
normalized_pain,Anne,Fosburg,"Anne Fosburg, Liza Yeager","Sarah Cooke, Stefania Gomez, Kamille Johnson, Sophie Kasakove, Addy Mitchell, Katie Murphy, Dolma Ombadykow, Niki Sanders, Sophia Washburn",,,Free Music Archive,2016,12,8,0,,
office_hours_music_of_the_times,Jason,Goettisheim,"Jason Goettisheim, Sebastian Lucek",Mitchell Johnson,"What's the difference between music and sound? Professor of composition Wang Lu discusses this and her unique musical style and upbringing.",,"Music:  Urban Inventory and Siren Song, Wang Luhttp://wanglu.instantencore.com/web/home.aspx",2015,10,21,0,,
other_halves,Chantal,Feitosa-Desouza,Chantal Feitosa Desouza,,,,,2017,12,2,1,"Story was actually published under the title of ""Other Halves""",
partying_in_la_la_land,Babette,Thomas,Babette Thomas,"Niki Sanders, Ari Snider",A student at Brown University explores the racial divides that exist in the schoolâ€™s nightlife.,Michael Jastremski,"â€œBUS RIDEâ€ù by KAYTRANADA, â€œCloserâ€ù by The Chainsmokers, â€œBroccoliâ€ù by Big Baby D.R.A.M., â€œAm I the Only Oneâ€ù by Dierks Bentley",2017,2,23,0,,
proto_gayness,Mitchell,Johnson,Mitchell Johnson,,,,,2017,12,2,1,"Note: Title is ""Proto-Gayness"", not ""Proto Gayness"" (in case the use of the hyphen isn't clear)",
reverberations,Ariana,Martinez,Ariana Martinez,,"The Fort Adams â€œlistening tunnelsâ€ù serve to remind us that we respond to this fear the only way we know how: by creating something equally unfathomable, dark, and deep with which to fight it.",,"The producer created all background sounds as she explored the â€œlistening tunnelsâ€ù. Special thanks to Steve Marino, tour guide at Fort Adams in Newport, Rhode Island for providing history and narrative.",2016,12,1,0,,
rosy_colored_eyeglass_people,Liza,Yeager,Liza Yeager,,"Historian Ray Rickman tells the story of Hardscrabble and Snowtown, the race riots that turned Providence into a city.",,,2016,4,7,0,,
sandstorm,Anna,Martin,Anna Martin,"Sophie McKibben, Lauren Black",Anna Martin tells all about the best part of high school model UNâ€_the dance.,,,2016,2,10,0,,"The Brown UniversityÂ StorytellersÂ are Brownâ€™s first and only performance storytelling group dedicated to 100% true stories told live, from the heart. TheÂ StorytellersÂ audition, workshop, direct, and perform stories likeÂ thisÂ one live at biannual Storyslams. They also host weekly meetings open to all. EmailÂ anna_martin@brown.eduÂ to be added to theÂ StorytellersÂ listserv."
some_things_we_remember,Clare,Boyle,,,,,,2017,12,2,1,,
special_boy,Juan,Carlos-Carranza,Juan Carlos Carranza,Mitchell Johnson,Juan Carlos Carranza tells a story about coming out to his father.,,,,,,,,
sticky_smelly_gold,Ari,Snider,Ari Snider,,Rhode Island is running out of room for its trash. Leo Pollock sees this as an opportunity to create a large-scale composting industry in the state.,Ari Snider,â€œSally Annâ€ù by Shake That Little Foot,2016,4,7,0,,
stories_of_the_uel,Dorinda,Fong,Dorinda Fong,Janice Gan,Members of the UEL community reminisce about their favorite memories and what the UEL means to them as they come to terms with its possible future demolition.,,"â€œGolden Hourâ€ù by Podington Bear, â€œDog and Pony Showâ€ù by Podington Bear, â€œHappy Whistleâ€ù by Scott Holmes, â€œCurious Processâ€ù by Podington Bear, â€œSolanâ€ù by Podington Bear",2017,5,11,0,,
the_dawn_keeps_coming,Lauren ,Black,Lauren Black,,An elderly woman in hospice reflects on the feeling of living while waiting to die.,,Summer Days by Kai Engel https://kaiengel.bandcamp.com/album/the-scope,2016,4,21,0,,
the_imaginary_norwagians,Lauren ,Black,Lauren Black,,"As a little girl starts taking her fantasy world very seriously, her mom goes to great lengths to help her make it as real as possible.",,"â€œRolands Vegnersâ€ù by Ergo Phizmiz & Margita Zalite, â€œPigalleâ€ù by Jahzzar https://jahzzar.bandcamp.com/, â€œThe Shoes They Wearâ€ù and â€œOn Three Legsâ€ù by Blue Dot Sessions http://www.sessions.blue/",2015,12,3,0,,
the_lost_art_of_peanut_percussion,Alex,Hanesworth,Alex Hanesworth,,"Sit for a while and listen to the folk music of Monique Belisle, raconteur and French Canadian musician extraordinaire.  Oral History tape courtesy of the Rhode Island Historical Society (http://www.rihs.org)",,"All the music in the piece is performed by Monique, Christy, Dena, and Priscilla and recorded by Geraldine.  A few short clips are included of Moniqueâ€™s friend, Paul Pelletier, on the violin, and Le Vent du Nordâ€™s foot percussion.",2017,4,21,0,,
the_magic_love_card,Molly,Schulson,Molly Schulson,"Niki Sanders, Lauren Black",Five girls find themselves forever connected by one â€œmagic love card.â€ù,,,2016,3,17,0,,
the_nanny_affair,Georgia,Wright,Georgia Wright,,A blissful day of babysitting takes a dramatic twist when Maia finds herself smack in the middle of a real-life soap opera.,,#NAME?,2016,12,15,0,,
the_treaty_of_guadalupe_hidalgo_was_a_spell,Liza,Yeager,,,,,,2017,12,2,1,,
therapy_olympics,Isabelle,White,Isabelle White,,Will discovered chatroom robots were very poor substitutes for therapists.,,Music: â€œBig Poppaâ€ù by Chad Crouch,2016,3,23,0,,
to_love_and_be_loved,Lars ,Tiffany,Lars Tiffany,Mitchell Johnson,"Lars Tiffany, coach of Brown Menâ€™s Lacrosse, talks to his players about practicing healthy masculinity.",,,,,,,,
to_the_moon_and_back,Ariana,Martinez,"Eloise Sherrid, Ariana Martinez",,"During the 2015 lunar eclipse, Eloise Sherrid took a four-hour walk across Providence and recorded her conversations with people out on the streets that night. Eloise generously entrusted this trove of audio to producer, Ariana Martinez so she could tease out the essence of that experience. This is a story about what happens when a whole city gazes skyward.",,Endless Story of Sun and Moon by Kai Engel,2017,4,5,0,,
twinning,Eli,Beck,Eli Beck,Mitchell Johnson,Eli Beck talks about the emotional toll of competing with his twin brother.,,,2016,4,14,,,
waves_and_egg_shells,Benjamin,Koatz,Benjamin Koatz,Mitchell Johnson,"Benjamin Koatz reads a poem about expressing their gender identity amid violence, expectations and self-doubt.",,,2016,4,14,,"Produced by Benjamin Koatz, Recorded Live and Mixed By Mitchell Johnson",
whats_really_scary,Tariq,Cannonier,Tariq Cannonier,Mitchell Johnson,"Tariq Cannonier tells about navigating his Black masculinity in a racist society. ",,,2016,4,14,,,
